,Request Date (Local),Unnamed: 0,Employee ID,Distance (mi),Duration (min),Fare in KES,Service and Technology Fee,Total Charge in KES
284,2018-04-16,4345,170.0,53.559999999999995,165,3443.0,172.15,3615.15
285,2018-04-17,3996,138.0,53.959999999999994,190,4223.0,211.15,4434.15
286,2018-04-18,3164,90.0,23.97,141,1965.0,98.25,2063.25
287,2018-04-19,3676,97.0,38.43,151,2551.0,127.55,2678.55
288,2018-04-20,1862,40.0,17.88,115,1711.0,85.55,1796.55
289,2018-04-23,2350,81.0,34.010000000000005,96,1566.0,78.3,1644.3
290,2018-04-24,1898,77.0,33.87,112,1925.0,96.25,2021.25
291,2018-04-25,1434,66.0,6.83,53,973.0,48.65,1021.65
292,2018-04-26,2895,80.0,21.29,133,1892.0,94.6,1986.6
293,2018-04-27,3916,145.0,11.559999999999999,71,1612.0,80.6,1692.6
294,2018-04-30,1982,42.0,16.96,80,1446.0,72.3,1518.3
295,2018-02-05,5025,140.0,34.81,238,3440.0,172.0,3612.0
296,2018-03-05,1527,48.0,13.959999999999999,43,990.0,49.5,1039.5
297,2018-04-05,5155,135.0,27.83,173,2958.0,147.9,3105.9
298,2018-07-05,3668,118.0,42.8,133,3194.0,159.7,3353.7
299,2018-08-05,2118,71.0,19.88,86,1258.0,62.9,1320.9
300,2018-09-05,2670,101.0,15.43,65,1292.0,64.6,1356.6
301,2018-10-05,1614,53.0,22.459999999999997,67,1390.0,69.5,1459.5
302,2018-11-05,2166,81.0,25.73,217,1882.0,94.1,1976.1
303,2018-12-05,1089,14.0,11.58,47,828.0,41.4,869.4
304,2018-05-15,1093,27.0,28.689999999999998,64,1687.0,84.35000000000001,1771.3500000000001
305,2018-05-16,4412,109.0,50.32,199,3383.0,169.15,3552.15
306,2018-05-17,1671,17.0,8.99,57,826.0,41.3,867.3
307,2018-05-18,1680,54.0,9.83,53,845.0,42.25,887.25
308,2018-05-21,2254,41.0,16.41,73,1410.0,70.5,1480.5
309,2018-05-22,2270,53.0,12.67,73,1090.0,54.5,1144.5
310,2018-05-23,2860,53.0,20.810000000000002,91,1530.0,76.5,1606.5
311,2018-05-24,4046,103.0,78.7,250,4478.0,223.89999999999998,4701.9
312,2018-05-25,3507,108.0,14.37,72,1564.0,78.2,1642.2
313,2018-05-28,3543,52.0,36.37,199,2682.0,134.1,2816.1
314,2018-05-29,4179,87.0,27.509999999999998,139,2481.0,124.05,2605.05
315,2018-05-30,3015,57.0,18.79,96,1634.0,81.7,1715.7
316,2018-05-31,5490,106.0,26.05,166,2548.0,127.4,2675.4
317,2018-03-06,615,1.0,6.03,38,502.0,25.1,527.1
318,2018-04-06,616,15.0,5.92,19,359.0,17.95,376.95
319,2018-05-06,4340,105.0,35.86,142,2273.0,113.65,2386.65
320,2018-07-06,624,24.0,7.17,18,330.0,16.5,346.5
321,2018-08-06,3765,88.0,19.03,79,1621.0,81.05,1702.05
322,2018-11-06,1263,23.0,14.469999999999999,40,953.0,47.65,1000.65
323,2018-12-06,6375,136.0,80.52,447,5819.48,290.97,6110.450000000001
324,2018-06-13,7128,127.0,30.169999999999998,244,3085.0,154.25,3239.25
325,2018-06-18,2622,60.0,23.33,57,1424.0,71.2,1495.2
326,2018-06-19,5292,81.0,44.35,210,2715.0,135.75,2850.75
327,2018-06-20,2001,59.0,35.52,78,2030.0,101.5,2131.5
328,2018-06-21,5380,110.0,32.93,165,2678.0,133.9,2811.9
329,2018-06-22,2034,55.0,11.81,61,860.0,43.0,903.0
